Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Label
2735,21,6,175.9190270211193,411.4025567347027,914.931406892366,535.8612536145954,452.3083647841828,28.484713112630455,332.59261927757876,657.4635455661626,724.3315589213655,452.4285813077338,648.8772496197421,398.3244003341524,731.809864720853,555.9976573758363,871.2123891015337,11.476450708533203,16.96199686825195,749.3376089529888,572.4882883291679,878.4531469707515,849.4005175723773,536.1727674502816,745.0509892653394,558.6333288109246,616.8335156965843,611.1489863503733,176.38117298746158,847.277580288205,526.4946661787491,360.5907727276051,833.9950323348579,366.5259131314971,693.21099215595,116.95870959342002,47.36205715220676,535.1659657680995,53.932230071112585,833.118220236674,784.3202780131032,371.80747020074955,989.872961044098,252.10717656649263,628.1209115684243,811.5650455422401,894.4163956381515,158.500045148252,189.1342145286411,115.54668042005656,574.3291348921475,812.3597342279859,164.77861978061125,253.19207741398662,740.6076888616828,0
38428,930,17,809.9583474350806,248.9910091346027,722.507497336441,698.252573881321,563.4836057069818,441.62382184167103,566.2345626995308,292.0839469679107,900.779711631899,977.4019059554722,593.8152129312579,432.5405288159886,138.53998929282852,896.5971804326153,503.6640596492392,177.17596238763954,350.41431234635303,28.72576108880709,996.5423813152019,596.0603773200979,787.1795474720185,132.6763021424646,97.53788737642633,620.6659149233506,517.9034121642978,489.6079701068468,740.076708010547,927.5784285276908,731.0302249332233,186.949155355432,537.6753388717631,563.8498637197064,693.6500449269816,341.5577798532584,418.62591732181306,106.91325012447194,72.07647915307336,572.0121010974786,159.4676345792738,802.6619876726943,97.02651551894381,731.44948866416,73.36536688961215,796.0671698004114,295.85627851583575,673.6446785011109,966.0467084106061,522.462722298953,903.2831169027213,777.8130977163014,908.7782500722792,763.3373316829603,595.7312018831185,0
30021,15,17,898.067537725899,90.98591696892888,384.43494365663213,974.1119290804282,867.9067744544504,440.7736940814361,152.32797999824456,301.46890012800174,354.92207711215565,199.21828783525197,589.4360982668662,616.7218795049977,368.68402792131525,94.00626523748656,129.8245395208545,375.465260915641,439.69207402814635,662.2609099001594,112.31340915736054,923.8567338458043,474.09634872462937,885.948337279498,391.3477559938838,416.044781782251,317.31125658497496,491.60541470331884,730.3682631297374,275.2899434381209,676.605463907879,519.282293782455,465.2027586279942,571.7494800044989,361.1407475750469,289.5606657022807,827.1851598133703,906.0943860535386,716.4757099982514,486.9066284089868,807.685870436941,949.1612543300098,460.5654953429296,368.3058391707152,394.5380722146187,564.2479267419218,6.894880800218495,180.72882030979375,129.8581436733699,355.5150548112017,828.1506754776018,131.68158683911258,959.2017416210181,816.1872588479536,641.4536441049456,0
58105,52,17,876.9157420877508,221.33899165869286,403.8826773664794,241.52805610589056,22.533593180472767,742.8337926175092,896.0777619303964,519.8309836480228,450.70644093373437,498.7641242188776,825.1075112156344,605.4318110450903,755.8171972996207,947.1881750744847,293.1386997403833,22.04965702256223,178.5059994869822,718.8548413085152,409.57695853030765,266.41502583609866,205.13215205996516,146.47551990493713,139.7616053148284,712.4465556028008,690.6898938406329,217.9100507987396,514.7106573713793,766.0606061839043,0.040712672254472615,686.6536475998352,948.6401322282244,270.07800271793326,267.1579012987009,882.9306777394769,888.225003415277,830.1327624434147,933.8672349005774,724.6111920197707,999.350053391844,231.2256103413215,10.454653149783887,259.8099884605628,305.61498294272417,32.201074215299606,652.0173432552135,967.0591977332596,955.6623445960928,286.4608904275365,997.8542171308158,412.4127723396414,887.2905277481892,51.957532719552944,503.3142107644147,0
50608,833,17,625.7205850143184,985.8424737206528,201.76933360213224,839.8979559721231,619.4294353962429,247.14731207404373,663.7739515360079,69.12943043450059,69.33311840415124,32.95302377361553,170.2773313854382,448.06066564082147,749.599248177623,818.6767894685988,421.08860247427515,257.41767209245324,410.64059232201276,871.5097302598856,219.70580990888556,223.97628836684925,655.8617210534081,818.4157120167907,830.4467745319658,318.2558647356298,701.676473960952,852.4068763938784,82.55045839762786,366.9147420502228,826.1060539599059,708.6233116434033,33.916504396198974,754.8613890633804,688.5511564095398,616.5687178672725,894.5598628852683,999.8656749104938,769.5788491547664,855.0644542310486,210.23963179179427,931.4324491676093,689.8583716343715,442.38507601295805,268.8223826324917,572.2851506470113,851.6037632660848,914.823279553348,810.7263764194191,941.627125307507,360.28289131015157,587.246525574573,342.39604356943045,51.97457067851674,820.2769828909985,0
61372,447,17,595.0437888080344,125.14699123674534,748.8615995409259,437.41970154728784,540.8436564806868,975.6229514767682,584.3150961665169,41.77666090668786,887.2887071511688,843.8162796566738,183.70583005056562,289.8085008871816,16.22400567527893,535.2275268403253,573.7147306149736,12.326451886421452,880.8680622295731,140.72189486086938,887.501497901529,932.8772481279361,699.7596146246137,429.6718143875743,984.0516072630129,57.68623049696675,78.7875228758903,961.8069723267023,701.4485891781356,849.6293349811418,492.33159798390534,733.3939399554929,89.4069115816607,287.65090606383114,472.75900170206984,375.2432541806584,55.10094091022077,492.01691399241264,663.4730800010389,677.6884062228195,874.3408772295136,947.2234096502896,932.2014288650929,570.8042194155203,498.8098816761871,619.1938784759072,2.924582711511192,627.2892852791714,999.8186765830627,159.4149288840465,676.2274159468706,716.1442410491927,684.7595590892385,286.01800372500594,975.4563682934415,0
24616,513,6,839.7174280666799,436.7581836690719,453.0389984700568,957.8381242688863,139.438938422627,138.17711940364495,872.1939484197699,658.7138885717378,316.75314869430724,503.1427827598921,658.1370649504886,680.0847976003784,521.5732610161099,491.67831232392814,832.4963511771795,846.4493005790199,358.75932548382826,890.921571630101,909.6403391894812,383.1068791536205,883.2543684593486,69.91436962687348,41.38845773350008,196.93689741108167,908.8039588566066,228.88862834100254,808.682144073562,968.9234972791111,761.313784831064,514.4059295293082,707.0944065321702,306.25511023316034,369.59240749588906,603.9577615655921,864.9019552179834,74.82380647939257,827.6739889826296,181.89935559808455,259.97836717899736,198.81228282102404,792.5378840676375,573.4028470615356,568.8407749682951,919.2518583104294,761.4102190518358,67.9000089798102,331.81182595735817,482.94529376694373,851.3549888207777,793.2646118050847,310.29818089820606,784.12330135026,923.3909140203274,0
53025,100,17,694.1087803313479,708.7537952777318,789.1005655656431,891.0201332214275,259.7496491487811,273.63801466406437,496.4743171074946,598.466344624742,648.5388834697899,988.3381248804683,315.3437116797799,68.60036182619523,14.672617604260086,415.484442022381,465.14969319697354,571.6539287625017,54.20242140616194,954.2532203311201,837.9104337868624,111.61251523541893,476.226242212693,558.3971632689271,45.43196674878669,587.2754226723695,17.469030342710525,735.991616746446,473.34451698544166,551.6939928429354,896.2632926461968,408.5680433727561,471.5186656020662,622.5618265170716,383.441969187274,632.9780934235578,778.7353816941123,232.0658508257004,609.4611343362888,561.8896246691511,369.1782494185003,229.01499887455012,627.2025836493177,120.93853227278129,361.96867331509907,454.6733486493457,460.0115962478336,996.7615111492598,914.759566879133,457.07422897585013,554.7999035068261,462.39594633964253,898.1876743132417,411.95921045437467,53.14520394327937,0
39137,850,6,293.7445902577962,268.36909717655885,932.4958406067805,645.1897332725837,78.22221768799953,834.7478178539087,643.1769660602796,584.1216496467448,408.48179219861294,324.38492208916625,130.57531952339784,584.2701179775903,617.0376751819316,731.7339968639543,876.7026033105797,100.71349302855059,186.89706342411105,432.8330949667146,920.41870802638,600.7863341068054,599.7815866078909,66.43252955039158,648.67884281099,407.2619172821631,218.74657399230068,409.62064377029793,265.7932208734464,296.4387835485449,330.515644202671,940.6981010056946,865.8008265625384,992.5575979737139,696.430191094258,57.468254803441646,861.743840944833,14.457194063334011,101.33268947360719,846.2553622195554,271.37600148394216,515.8265566246456,576.4165055514769,79.4587975164539,869.167432744858,292.59343986521424,493.9126367346751,803.1434033406315,356.86379657371447,667.3932082914753,329.34434129655557,539.4949037444196,569.4029939804791,655.8873711426437,937.6647161319888,0
45802,685,6,603.8411507878463,198.99934910724093,131.8524936740323,190.69837887158937,670.1625446541412,152.59567965735476,433.9931439971959,854.3761376204079,467.24004613058366,918.5850282816712,732.8172047880619,142.3561210925698,501.457803551167,698.8624583512542,44.006451585930975,53.763476021175926,604.3094267529077,600.1908933189271,838.892581069663,461.6924452641661,776.4161228232276,399.1196694006519,54.95605328135744,315.1260755953915,84.07186822762225,281.21535986841496,969.4354526413483,864.2107263278397,890.7651906341767,288.7297216798662,252.845283525307,213.94331110016006,249.3856563844894,789.042061040261,26.348257963950683,187.10351955555882,695.237906247346,959.0656824081003,540.3480455647442,929.0084875337303,550.3617580723986,196.99999574890458,161.43873718230716,885.8489701582168,959.9677220567169,579.4127957895168,499.93648273861055,554.7194090324383,9.3758372186884,229.42278521894733,242.00819096871285,183.9605089760139,870.2934403607406,0
